deployment_mode,rate_rps,n_requests,latency_p50_ms,latency_p99_ms,latency_mean_ms,latency_std_ms,cold_start_count,cold_start_pct,measured_cost_per_1k,predicted_cost_per_1k,error_pct
serverless,0.017,5,49.1,64.52,52.95,6.47,0,0.0,0.001082,0.004834,346.6
serverless,0.1,30,50.02,2051.23,283.99,557.03,5,16.7,0.004933,0.00468,5.14
serverless,0.5,150,50.77,1922.68,200.72,432.38,18,12.0,0.003545,0.004019,13.35
serverless,1.0,300,49.56,1549.36,200.27,399.86,40,13.3,0.003538,0.003358,5.07
serverless,5.0,1500,50.64,1109.49,71.83,159.18,27,1.8,0.001397,0.001348,3.52
serverless,10.0,3000,50.4,919.1,65.99,136.13,38,1.3,0.0013,0.001225,5.76
serverless,30.0,9000,50.05,87.92,60.36,105.91,76,0.8,0.001206,0.001225,1.58
serverless,100.0,30000,50.01,706.99,62.95,123.22,310,1.0,0.001249,0.001225,1.93
container,0.017,5,31.15,33.46,30.17,3.49,0,0.0,0.339869,0.339869,0.0
container,0.1,30,27.4,40.71,28.28,4.38,0,0.0,0.057778,0.057778,0.0
container,0.5,150,30.26,43.35,30.87,4.77,0,0.0,0.011556,0.011556,0.0
container,1.0,300,29.95,41.36,30.12,4.42,0,0.0,0.005778,0.005778,0.0
container,5.0,1500,29.99,42.57,30.38,4.6,0,0.0,0.001156,0.001156,0.0
container,10.0,3000,30.1,42.42,30.4,4.62,0,0.0,0.000578,0.000578,0.0
container,30.0,9000,29.94,42.33,30.3,4.55,0,0.0,0.000193,0.000193,0.0
container,100.0,30000,30.0,42.59,30.34,4.6,0,0.0,5.8e-05,5.8e-05,0.0
managed,0.017,5,37.19,167.23,62.46,55.2,1,20.0,1.062092,1.062092,0.0
managed,0.1,30,36.0,166.35,41.83,32.56,1,3.3,0.180556,0.180556,0.0
managed,0.5,150,34.68,48.3,35.93,13.8,1,0.7,0.036111,0.036111,0.0
managed,1.0,300,34.92,48.33,35.8,14.4,1,0.3,0.018056,0.018056,0.0
managed,5.0,1500,34.83,49.98,35.4,6.78,1,0.1,0.003611,0.003611,0.0
managed,10.0,3000,34.76,49.7,35.3,6.15,1,0.0,0.001806,0.001806,0.0
managed,30.0,9000,35.12,49.26,35.51,5.55,1,0.0,0.000602,0.000602,0.0
managed,100.0,30000,35.02,49.5,35.41,5.43,1,0.0,0.000181,0.000181,0.0
